pedestrians,towards_manhattan,towards_brooklyn,date,weather,events
2203,897,1306,2019-09-14,cloudy,nan
3031,1391,1640,2019-09-28,partly-cloudy-day,nan
1142,553,589,2019-02-14,clear-day,Valentine's Day
455,242,213,2019-06-10,fog,nan
422,164,258,2019-11-04,clear-day,nan
29,0,29,2019-10-20,clear-night,nan
1664,676,988,2019-06-29,partly-cloudy-day,nan
20,17,3,2019-04-28,clear-night,nan
2042,1011,1031,2019-06-12,clear-day,nan
794,437,357,2019-03-05,clear-day,nan
844,453,391,2019-09-12,partly-cloudy-day,nan
313,128,185,2019-08-26,cloudy,nan
1704,1010,694,2019-06-06,partly-cloudy-day,nan
0,0,0,2019-04-21,partly-cloudy-night,Easter Sunday
3,2,1,2019-10-06,cloudy,nan
0,0,0,2019-07-08,partly-cloudy-night,nan
137,82,55,2019-06-08,clear-night,nan
2,1,1,2019-04-14,cloudy,Tax Day
2385,1175,1210,2019-05-15,partly-cloudy-day,nan
2,0,2,2019-04-10,clear-night,nan
50,48,2,2019-12-03,clear-night,nan
2035,950,1085,2019-08-09,clear-day,nan
12,6,6,2019-10-14,clear-night,Columbus Day (regional holiday)
340,131,209,2019-11-15,clear-day,nan
0,0,0,2019-10-09,partly-cloudy-night,nan
57,40,17,2019-07-31,clear-night,nan
0,0,0,2019-08-24,partly-cloudy-night,nan
1854,983,871,2019-11-28,cloudy,Thanksgiving Day
855,433,422,2019-04-10,clear-day,nan
0,0,0,2019-05-02,fog,nan
1768,1034,734,2019-09-01,partly-cloudy-day,nan
0,0,0,2019-03-27,clear-night,nan
100,84,16,2019-05-28,partly-cloudy-night,nan
291,126,165,2019-09-27,clear-day,nan
6,1,5,2019-03-02,snow,nan
404,244,160,2019-07-28,partly-cloudy-day,nan
40,40,0,2019-12-29,rain,nan
753,391,362,2019-04-26,rain,nan
210,95,115,2019-03-17,clear-day,St. Patrick's Day
2150,797,1353,2019-04-21,partly-cloudy-day,Easter Sunday
214,107,107,2019-05-23,rain,nan
0,0,0,2019-09-17,partly-cloudy-night,nan
68,55,13,2019-05-27,clear-night,Memorial Day
1160,720,440,2019-08-07,partly-cloudy-day,nan
0,0,0,2019-12-17,rain,nan
1260,737,523,2019-03-09,clear-day,nan
1,0,1,2019-10-25,clear-night,nan
81,70,11,2019-10-03,rain,nan
92,23,69,2019-05-17,partly-cloudy-night,nan
281,130,151,2019-09-16,cloudy,nan
12,8,4,2019-10-11,cloudy,nan
1883,983,900,2019-05-21,clear-day,nan
618,333,285,2019-02-11,cloudy,nan
254,99,155,2019-04-16,clear-day,nan
2191,969,1222,2019-05-07,clear-day,nan
8,5,3,2019-07-02,cloudy,nan
202,117,85,2019-05-12,rain,Mother's Day
0,0,0,2019-11-02,clear-night,nan
5,5,0,2019-05-04,rain,nan
46,42,4,2019-04-18,clear-night,nan
0,0,0,2019-09-27,clear-night,nan
2124,1048,1076,2019-08-09,partly-cloudy-day,nan
334,175,159,2019-02-28,clear-day,nan
58,55,3,2019-12-28,clear-night,nan
0,0,0,2019-05-25,clear-night,nan
40,19,21,2019-03-01,snow,nan
10,7,3,2019-01-13,clear-night,nan
1968,842,1126,2019-10-15,clear-day,nan
987,421,566,2019-12-19,clear-day,nan
932,461,471,2019-05-03,cloudy,nan
306,158,148,2019-03-07,clear-day,nan
457,195,262,2019-03-22,partly-cloudy-day,nan
1686,931,755,2019-07-15,clear-day,nan
3,2,1,2019-06-14,clear-night,nan
0,0,0,2019-10-11,partly-cloudy-night,nan
1811,868,943,2019-04-04,clear-day,nan
4,1,3,2019-12-05,partly-cloudy-night,nan
282,127,155,2019-07-20,partly-cloudy-day,nan
12,4,8,2019-09-02,partly-cloudy-night,nan
84,50,34,2019-10-11,clear-night,nan
13,11,2,2019-06-13,partly-cloudy-night,nan
1,0,1,2019-05-10,cloudy,nan
2,1,1,2019-01-31,clear-night,nan
18,17,1,2019-12-29,partly-cloudy-night,nan
1129,490,639,2019-02-14,partly-cloudy-day,Valentine's Day
256,141,115,2019-08-23,rain,nan
8,6,2,2019-11-18,rain,nan
244,103,141,2019-04-22,partly-cloudy-day,Easter Monday
585,296,289,2019-09-26,clear-day,nan
179,60,119,2019-03-06,clear-day,nan
